bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1,Ellie Brooks,flat,2500.0,100000.0,50000.0,72,0,0.0,80000.0,80000.0,-20000.0
2,Jordan Payne,flat,2500.0,100000.0,50000.0,101,0,0.0,152500.0,152500.0,52500.0
3,London Holloway,flat,2500.0,100000.0,50000.0,75,0,0.0,87500.0,87500.0,-12500.0
4,Sutton Sanders,flat,2500.0,100000.0,50000.0,91,0,0.0,127500.0,127500.0,27500.0
5,Everleigh Dominguez,flat,2500.0,100000.0,50000.0,92,0,0.0,130000.0,130000.0,30000.0
6,Kaden Castaneda,flat,2500.0,100000.0,50000.0,82,0,0.0,105000.0,105000.0,5000.0
7,Keira Palacios,flat,2500.0,100000.0,50000.0,71,0,0.0,77500.0,77500.0,-22500.0
8,Thaddeus Pratt,flat,2500.0,100000.0,50000.0,82,0,0.0,105000.0,105000.0,5000.0
9,Ailani Rogers,flat,2500.0,100000.0,50000.0,79,0,0.0,97500.0,97500.0,-2500.0
10,Colton Ramos,flat,2500.0,100000.0,50000.0,86,0,0.0,115000.0,115000.0,15000.0
11,Alice Hull,flat,2500.0,100000.0,50000.0,60,0,0.0,50000.0,50000.0,-50000.0
12,Salem Jenkins,flat,2500.0,100000.0,50000.0,79,0,0.0,97500.0,97500.0,-2500.0
13,Rylee Farmer,flat,2500.0,100000.0,50000.0,71,0,0.0,77500.0,77500.0,-22500.0
14,Jamison Galvan,flat,2500.0,100000.0,50000.0,100,0,0.0,150000.0,150000.0,50000.0
15,Dallas Steele,flat,2500.0,100000.0,50000.0,70,0,0.0,75000.0,75000.0,-25000.0
16,Elian Ortega,flat,2500.0,100000.0,50000.0,73,0,0.0,82500.0,82500.0,-17500.0
17,Lilah Lowery,flat,2500.0,100000.0,50000.0,79,0,0.0,97500.0,97500.0,-2500.0
18,Jaxxon Estrada,flat,2500.0,100000.0,50000.0,84,0,0.0,110000.0,110000.0,10000.0
19,Sawyer Morrison,flat,2500.0,100000.0,50000.0,78,0,0.0,95000.0,95000.0,-5000.0
20,Maximus Wiggins,flat,2500.0,100000.0,50000.0,79,0,0.0,97500.0,97500.0,-2500.0
21,Capri Dalton,flat,2500.0,100000.0,50000.0,75,0,0.0,87500.0,87500.0,-12500.0
22,Fletcher Mann,flat,2500.0,100000.0,50000.0,87,0,0.0,117500.0,117500.0,17500.0
23,Paislee McGuire,flat,2500.0,100000.0,50000.0,81,0,0.0,102500.0,102500.0,2500.0
