bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1,Ellie Brooks,martingale,100.0,100000.0,50000.0,267,3,0.0,87600.0,87600.0,-12400.0
2,Jordan Payne,martingale,100.0,100000.0,50000.0,323,1,0.0,82200.0,82200.0,-17800.0
3,London Holloway,martingale,100.0,100000.0,50000.0,630,1,0.0,122600.0,122600.0,22600.0
4,Sutton Sanders,martingale,100.0,100000.0,50000.0,576,1,0.0,96600.0,96600.0,-3400.0
5,Everleigh Dominguez,martingale,100.0,100000.0,50000.0,554,2,0.0,120400.0,120400.0,20400.0
6,Kaden Castaneda,martingale,100.0,100000.0,50000.0,305,1,0.0,108300.0,108300.0,8300.0
7,Keira Palacios,martingale,100.0,100000.0,50000.0,300,1,0.0,67100.0,67100.0,-32900.0
8,Thaddeus Pratt,martingale,100.0,100000.0,50000.0,458,1,0.0,99700.0,99700.0,-300.0
9,Ailani Rogers,martingale,100.0,100000.0,50000.0,493,2,0.0,118400.0,118400.0,18400.0
10,Colton Ramos,martingale,100.0,100000.0,50000.0,391,1,0.0,97000.0,97000.0,-3000.0
11,Alice Hull,martingale,100.0,100000.0,50000.0,452,1,0.0,100200.0,100200.0,200.0
12,Salem Jenkins,martingale,100.0,100000.0,50000.0,547,2,0.0,120800.0,120800.0,20800.0
13,Rylee Farmer,martingale,100.0,100000.0,50000.0,842,1,0.0,142200.0,142200.0,42200.0
14,Jamison Galvan,martingale,100.0,100000.0,50000.0,544,2,0.0,113900.0,113900.0,13900.0
15,Dallas Steele,martingale,100.0,100000.0,50000.0,429,1,0.0,100200.0,100200.0,200.0
16,Elian Ortega,martingale,100.0,100000.0,50000.0,618,1,0.0,109700.0,109700.0,9700.0
17,Lilah Lowery,martingale,100.0,100000.0,50000.0,319,2,0.0,104500.0,104500.0,4500.0
18,Jaxxon Estrada,martingale,100.0,100000.0,50000.0,680,1,0.0,131800.0,131800.0,31800.0
19,Sawyer Morrison,martingale,100.0,100000.0,50000.0,142,2,0.0,64700.0,64700.0,-35300.0
20,Maximus Wiggins,martingale,100.0,100000.0,50000.0,280,2,0.0,88800.0,88800.0,-11200.0
21,Capri Dalton,martingale,100.0,100000.0,50000.0,350,3,0.0,97300.0,97300.0,-2700.0
22,Fletcher Mann,martingale,100.0,100000.0,50000.0,582,1,0.0,123900.0,123900.0,23900.0
23,Paislee McGuire,martingale,100.0,100000.0,50000.0,348,3,0.0,105600.0,105600.0,5600.0
24,Casey Combs,martingale,100.0,100000.0,50000.0,299,1,0.0,99800.0,99800.0,-200.0
25,Irene Wagner,martingale,100.0,100000.0,50000.0,493,2,0.0,103300.0,103300.0,3300.0
26,Enzo McFarland,martingale,100.0,100000.0,50000.0,515,2,0.0,120200.0,120200.0,20200.0
27,Annika Deleon,martingale,100.0,100000.0,50000.0,605,3,0.0,128300.0,128300.0,28300.0
28,Nasir Pineda,martingale,100.0,100000.0,50000.0,593,2,0.0,118600.0,118600.0,18600.0
29,Nola Whitehead,martingale,100.0,100000.0,50000.0,282,1,0.0,65200.0,65200.0,-34800.0
30,Zayd Hancock,martingale,100.0,100000.0,50000.0,576,2,0.0,116100.0,116100.0,16100.0
31,Katelyn Christian,martingale,100.0,100000.0,50000.0,465,2,0.0,115700.0,115700.0,15700.0
32,Ledger Solomon,martingale,100.0,100000.0,50000.0,404,1,0.0,101400.0,101400.0,1400.0
33,Mylah Shelton,martingale,100.0,100000.0,50000.0,652,1,0.0,128200.0,128200.0,28200.0
34,Leonel Rosas,martingale,100.0,100000.0,50000.0,465,1,0.0,99100.0,99100.0,-900.0
35,Joelle Patel,martingale,100.0,100000.0,50000.0,336,1,0.0,94900.0,94900.0,-5100.0
36,Parker Black,martingale,100.0,100000.0,50000.0,561,1,0.0,122800.0,122800.0,22800.0
37,Molly Hobbs,martingale,100.0,100000.0,50000.0,527,1,0.0,119500.0,119500.0,19500.0
