bot_id,bot_name,strategy,base_bet,starting_pool,table_max,rounds_played,rounds_capped,final_playing_pool,final_winnings,final_total,net_profit
1,Ellie Brooks,paroli,100.0,100000.0,50000.0,1148,0,0.0,95000.0,95000.0,-5000.0
2,Jordan Payne,paroli,100.0,100000.0,50000.0,1152,0,0.0,97000.0,97000.0,-3000.0
3,London Holloway,paroli,100.0,100000.0,50000.0,1133,0,0.0,89200.0,89200.0,-10800.0
4,Sutton Sanders,paroli,100.0,100000.0,50000.0,1239,1,0.0,112500.0,112500.0,12500.0
5,Everleigh Dominguez,paroli,100.0,100000.0,50000.0,1108,0,0.0,86100.0,86100.0,-13900.0
6,Kaden Castaneda,paroli,100.0,100000.0,50000.0,1120,1,0.0,87800.0,87800.0,-12200.0
7,Keira Palacios,paroli,100.0,100000.0,50000.0,1152,1,0.0,95700.0,95700.0,-4300.0
8,Thaddeus Pratt,paroli,100.0,100000.0,50000.0,1137,0,0.0,88900.0,88900.0,-11100.0
9,Ailani Rogers,paroli,100.0,100000.0,50000.0,1148,1,0.0,99700.0,99700.0,-300.0
10,Colton Ramos,paroli,100.0,100000.0,50000.0,1130,0,0.0,92400.0,92400.0,-7600.0
11,Alice Hull,paroli,100.0,100000.0,50000.0,1207,1,0.0,108600.0,108600.0,8600.0
12,Salem Jenkins,paroli,100.0,100000.0,50000.0,1124,1,0.0,93000.0,93000.0,-7000.0
13,Rylee Farmer,paroli,100.0,100000.0,50000.0,1188,1,0.0,104300.0,104300.0,4300.0
14,Jamison Galvan,paroli,100.0,100000.0,50000.0,1181,1,0.0,100500.0,100500.0,500.0
15,Dallas Steele,paroli,100.0,100000.0,50000.0,1140,1,0.0,94300.0,94300.0,-5700.0
16,Elian Ortega,paroli,100.0,100000.0,50000.0,1192,0,0.0,104300.0,104300.0,4300.0
17,Lilah Lowery,paroli,100.0,100000.0,50000.0,1204,0,0.0,106200.0,106200.0,6200.0
18,Jaxxon Estrada,paroli,100.0,100000.0,50000.0,1129,1,0.0,90500.0,90500.0,-9500.0
19,Sawyer Morrison,paroli,100.0,100000.0,50000.0,1102,0,0.0,87000.0,87000.0,-13000.0
20,Maximus Wiggins,paroli,100.0,100000.0,50000.0,1112,0,0.0,90900.0,90900.0,-9100.0
21,Capri Dalton,paroli,100.0,100000.0,50000.0,1154,0,0.0,95600.0,95600.0,-4400.0
22,Fletcher Mann,paroli,100.0,100000.0,50000.0,1145,0,0.0,87000.0,87000.0,-13000.0
23,Paislee McGuire,paroli,100.0,100000.0,50000.0,1143,2,0.0,95000.0,95000.0,-5000.0
24,Casey Combs,paroli,100.0,100000.0,50000.0,1115,0,0.0,96100.0,96100.0,-3900.0
25,Irene Wagner,paroli,100.0,100000.0,50000.0,1137,0,0.0,99200.0,99200.0,-800.0
26,Enzo McFarland,paroli,100.0,100000.0,50000.0,1177,1,0.0,98000.0,98000.0,-2000.0
27,Annika Deleon,paroli,100.0,100000.0,50000.0,1202,1,0.0,105200.0,105200.0,5200.0
28,Nasir Pineda,paroli,100.0,100000.0,50000.0,1167,0,0.0,98600.0,98600.0,-1400.0
29,Nola Whitehead,paroli,100.0,100000.0,50000.0,1145,2,0.0,92300.0,92300.0,-7700.0
30,Zayd Hancock,paroli,100.0,100000.0,50000.0,1145,1,0.0,94300.0,94300.0,-5700.0
31,Katelyn Christian,paroli,100.0,100000.0,50000.0,1149,1,0.0,97300.0,97300.0,-2700.0
32,Ledger Solomon,paroli,100.0,100000.0,50000.0,1183,2,0.0,102600.0,102600.0,2600.0
33,Mylah Shelton,paroli,100.0,100000.0,50000.0,1120,1,0.0,87100.0,87100.0,-12900.0
34,Leonel Rosas,paroli,100.0,100000.0,50000.0,1138,2,0.0,91500.0,91500.0,-8500.0
35,Joelle Patel,paroli,100.0,100000.0,50000.0,1195,0,0.0,105900.0,105900.0,5900.0
